Census Year,Measure,Area Unit,Area Unit Code,Value,Value Unit,Value Label,Null Reason
2006,Median household income ($),Kawakawa-Orere,Kawakawa-Orere,43800,nzd,NZD,
2013,Median household income ($),Kawakawa-Orere,Kawakawa-Orere,55000,nzd,NZD,
2001,Median household income ($),Papakura Central,Papakura Central,28900,nzd,NZD,
2006,Median household income ($),Papakura Central,Papakura Central,35100,nzd,NZD,
2013,Median household income ($),Papakura Central,Papakura Central,42900,nzd,NZD,
2001,Median household income ($),Papakura North,Papakura North,29800,nzd,NZD,
2006,Median household income ($),Papakura North,Papakura North,38800,nzd,NZD,
2013,Median household income ($),Papakura North,Papakura North,47900,nzd,NZD,
2001,Median household income ($),Papakura South,Papakura South,32700,nzd,NZD,
2006,Median household income ($),Papakura South,Papakura South,45000,nzd,NZD,
2013,Median household income ($),Papakura South,Papakura South,50600,nzd,NZD,
2001,Median household income ($),Opaheke,Opaheke,54400,nzd,NZD,
2006,Median household income ($),Opaheke,Opaheke,64100,nzd,NZD,
2013,Median household income ($),Opaheke,Opaheke,78400,nzd,NZD,
2001,Median household income ($),Rosehill,Rosehill,43000,nzd,NZD,
2006,Median household income ($),Rosehill,Rosehill,57300,nzd,NZD,
2013,Median household income ($),Rosehill,Rosehill,65200,nzd,NZD,
2001,Median household income ($),Pahurehure,Pahurehure,58900,nzd,NZD,
2006,Median household income ($),Pahurehure,Pahurehure,74900,nzd,NZD,
2013,Median household income ($),Pahurehure,Pahurehure,82100,nzd,NZD,
2001,Median household income ($),Papakura East,Papakura East,36100,nzd,NZD,
2006,Median household income ($),Papakura East,Papakura East,52700,nzd,NZD,
2013,Median household income ($),Papakura East,Papakura East,57200,nzd,NZD,
2001,Median household income ($),Massey Park,Massey Park,36600,nzd,NZD,
2006,Median household income ($),Massey Park,Massey Park,49400,nzd,NZD,
2013,Median household income ($),Massey Park,Massey Park,60400,nzd,NZD,
2001,Median household income ($),Papakura North East,Papakura North East,44000,nzd,NZD,
2006,Median household income ($),Papakura North East,Papakura North East,51200,nzd,NZD,
2013,Median household income ($),Papakura North East,Papakura North East,64100,nzd,NZD,
2001,Median household income ($),Red Hill,Red Hill,53200,nzd,NZD,
2006,Median household income ($),Red Hill,Red Hill,66100,nzd,NZD,
2013,Median household income ($),Red Hill,Red Hill,70400,nzd,NZD,
2001,Median household income ($),Pukekohe North,Pukekohe North,38300,nzd,NZD,
2006,Median household income ($),Pukekohe North,Pukekohe North,53900,nzd,NZD,
2013,Median household income ($),Pukekohe North,Pukekohe North,70500,nzd,NZD,
2001,Median household income ($),Pukekohe West,Pukekohe West,41600,nzd,NZD,
2006,Median household income ($),Pukekohe West,Pukekohe West,52700,nzd,NZD,
2013,Median household income ($),Pukekohe West,Pukekohe West,64400,nzd,NZD,
2001,Median household income ($),Bledisloe Park,Bledisloe Park,41600,nzd,NZD,
2006,Median household income ($),Bledisloe Park,Bledisloe Park,58600,nzd,NZD,
2013,Median household income ($),Bledisloe Park,Bledisloe Park,70100,nzd,NZD,
2001,Median household income ($),Waiuku West,Waiuku West,39400,nzd,NZD,
2006,Median household income ($),Waiuku West,Waiuku West,49300,nzd,NZD,
2013,Median household income ($),Waiuku West,Waiuku West,56900,nzd,NZD,
2001,Median household income ($),Waiuku East,Waiuku East,42000,nzd,NZD,
2006,Median household income ($),Waiuku East,Waiuku East,55000,nzd,NZD,
2013,Median household income ($),Waiuku East,Waiuku East,60500,nzd,NZD,
2001,Median household income ($),South Waiuku,South Waiuku,55000,nzd,NZD,
2006,Median household income ($),South Waiuku,South Waiuku,66000,nzd,NZD,
2013,Median household income ($),South Waiuku,South Waiuku,85600,nzd,NZD,
2001,Median household income ($),Pukeoware,Pukeoware,57500,nzd,NZD,
2006,Median household income ($),Pukeoware,Pukeoware,76000,nzd,NZD,
2013,Median household income ($),Pukeoware,Pukeoware,73800,nzd,NZD,
2001,Median household income ($),Tuakau,Tuakau,40200,nzd,NZD,
2006,Median household income ($),Tuakau,Tuakau,47700,nzd,NZD,
2013,Median household income ($),Tuakau,Tuakau,59100,nzd,NZD,
2001,Median household income ($),Rotowaro,Rotowaro,,nzd,NZD,confidential
2006,Median household income ($),Rotowaro,Rotowaro,,nzd,NZD,confidential
2013,Median household income ($),Rotowaro,Rotowaro,,nzd,NZD,confidential
2001,Median household income ($),Raglan,Raglan,26600,nzd,NZD,
2006,Median household income ($),Raglan,Raglan,34200,nzd,NZD,
2013,Median household income ($),Raglan,Raglan,47500,nzd,NZD,
2001,Median household income ($),Waikato Western Hills,Waikato Western Hills,44300,nzd,NZD,
2006,Median household income ($),Waikato Western Hills,Waikato Western Hills,59000,nzd,NZD,
2013,Median household income ($),Waikato Western Hills,Waikato Western Hills,75900,nzd,NZD,
2001,Median household income ($),Te Uku,Te Uku,38600,nzd,NZD,
2006,Median household income ($),Te Uku,Te Uku,47800,nzd,NZD,
2013,Median household income ($),Te Uku,Te Uku,61400,nzd,NZD,
2001,Median household income ($),Te Pahu,Te Pahu,55200,nzd,NZD,
2006,Median household income ($),Te Pahu,Te Pahu,66100,nzd,NZD,
2013,Median household income ($),Te Pahu,Te Pahu,81500,nzd,NZD,
2001,Median household income ($),Onewhero,Onewhero,41100,nzd,NZD,
2006,Median household income ($),Onewhero,Onewhero,57900,nzd,NZD,
2013,Median household income ($),Onewhero,Onewhero,66800,nzd,NZD,
2001,Median household income ($),Te Akau,Te Akau,37900,nzd,NZD,
2006,Median household income ($),Te Akau,Te Akau,48300,nzd,NZD,
2013,Median household income ($),Te Akau,Te Akau,60600,nzd,NZD,
2001,Median household income ($),Te Kauwhata,Te Kauwhata,30600,nzd,NZD,
2006,Median household income ($),Te Kauwhata,Te Kauwhata,42200,nzd,NZD,
2013,Median household income ($),Te Kauwhata,Te Kauwhata,60200,nzd,NZD,
2001,Median household income ($),Matangi,Matangi,58600,nzd,NZD,
2006,Median household income ($),Matangi,Matangi,77100,nzd,NZD,
2013,Median household income ($),Matangi,Matangi,97400,nzd,NZD,
2001,Median household income ($),Sylvester,Sylvester,60000,nzd,NZD,
2006,Median household income ($),Sylvester,Sylvester,100000,nzd,NZD,
2013,Median household income ($),Sylvester,Sylvester,112000,nzd,NZD,
2001,Median household income ($),Flagstaff,Flagstaff,53700,nzd,NZD,
2006,Median household income ($),Flagstaff,Flagstaff,64300,nzd,NZD,
2013,Median household income ($),Flagstaff,Flagstaff,74400,nzd,NZD,
2001,Median household income ($),Horsham Downs,Horsham Downs,63600,nzd,NZD,
2006,Median household income ($),Horsham Downs,Horsham Downs,82100,nzd,NZD,
2013,Median household income ($),Horsham Downs,Horsham Downs,92400,nzd,NZD,
2001,Median household income ($),Rototuna,Rototuna,65100,nzd,NZD,
2006,Median household income ($),Rototuna,Rototuna,80100,nzd,NZD,
2013,Median household income ($),Rototuna,Rototuna,87000,nzd,NZD,
2001,Median household income ($),Huntington,Huntington,75600,nzd,NZD,
2006,Median household income ($),Huntington,Huntington,86300,nzd,NZD,
2013,Median household income ($),Huntington,Huntington,98200,nzd,NZD,
2001,Median household income ($),Whitikahu,Whitikahu,53100,nzd,NZD,
2006,Median household income ($),Whitikahu,Whitikahu,67200,nzd,NZD,
2013,Median household income ($),Whitikahu,Whitikahu,77700,nzd,NZD,
2001,Median household income ($),Taupiri Community,Taupiri Community,27000,nzd,NZD,
2006,Median household income ($),Taupiri Community,Taupiri Community,38800,nzd,NZD,
2013,Median household income ($),Taupiri Community,Taupiri Community,51400,nzd,NZD,
2001,Median household income ($),Gordonton,Gordonton,50800,nzd,NZD,
2006,Median household income ($),Gordonton,Gordonton,67300,nzd,NZD,
2013,Median household income ($),Gordonton,Gordonton,74200,nzd,NZD,
2001,Median household income ($),Kainui,Kainui,49500,nzd,NZD,
2006,Median household income ($),Kainui,Kainui,73300,nzd,NZD,
2013,Median household income ($),Kainui,Kainui,84700,nzd,NZD,
2001,Median household income ($),Newstead,Newstead,56000,nzd,NZD,
2006,Median household income ($),Newstead,Newstead,60000,nzd,NZD,
2013,Median household income ($),Newstead,Newstead,79000,nzd,NZD,
2001,Median household income ($),Eureka,Eureka,61100,nzd,NZD,
2006,Median household income ($),Eureka,Eureka,75500,nzd,NZD,
2013,Median household income ($),Eureka,Eureka,85900,nzd,NZD,
2001,Median household income ($),Tamahere-Tauwhare,Tamahere-Tauwhare,62400,nzd,NZD,
2006,Median household income ($),Tamahere-Tauwhare,Tamahere-Tauwhare,82000,nzd,NZD,
2013,Median household income ($),Tamahere-Tauwhare,Tamahere-Tauwhare,107100,nzd,NZD,
2001,Median household income ($),Hautapu,Hautapu,54600,nzd,NZD,
2006,Median household income ($),Hautapu,Hautapu,66600,nzd,NZD,
2013,Median household income ($),Hautapu,Hautapu,81400,nzd,NZD,
2001,Median household income ($),Swayne,Swayne,100000,nzd,NZD,
2006,Median household income ($),Swayne,Swayne,92500,nzd,NZD,
2013,Median household income ($),Swayne,Swayne,104700,nzd,NZD,
2001,Median household income ($),Waerenga,Waerenga,44400,nzd,NZD,
2006,Median household income ($),Waerenga,Waerenga,56700,nzd,NZD,
2013,Median household income ($),Waerenga,Waerenga,64300,nzd,NZD,
2001,Median household income ($),Maramarua,Maramarua,41800,nzd,NZD,
2006,Median household income ($),Maramarua,Maramarua,61100,nzd,NZD,
2013,Median household income ($),Maramarua,Maramarua,69100,nzd,NZD,
2001,Median household income ($),Meremere,Meremere,25600,nzd,NZD,
2006,Median household income ($),Meremere,Meremere,34200,nzd,NZD,
2013,Median household income ($),Meremere,Meremere,40600,nzd,NZD,
2001,Median household income ($),Huntly West,Huntly West,24800,nzd,NZD,
2006,Median household income ($),Huntly West,Huntly West,33600,nzd,NZD,
2013,Median household income ($),Huntly West,Huntly West,38000,nzd,NZD,
2001,Median household income ($),Huntly East,Huntly East,29000,nzd,NZD,
2006,Median household income ($),Huntly East,Huntly East,41100,nzd,NZD,
2013,Median household income ($),Huntly East,Huntly East,48900,nzd,NZD,
2001,Median household income ($),Cambridge North,Cambridge North,40300,nzd,NZD,
2006,Median household income ($),Cambridge North,Cambridge North,54700,nzd,NZD,
2013,Median household income ($),Cambridge North,Cambridge North,69800,nzd,NZD,
2001,Median household income ($),Cambridge West,Cambridge West,33600,nzd,NZD,
2006,Median household income ($),Cambridge West,Cambridge West,41200,nzd,NZD,
2013,Median household income ($),Cambridge West,Cambridge West,55400,nzd,NZD,
2001,Median household income ($),Cambridge Central,Cambridge Central,36300,nzd,NZD,
2006,Median household income ($),Cambridge Central,Cambridge Central,40400,nzd,NZD,
2013,Median household income ($),Cambridge Central,Cambridge Central,50200,nzd,NZD,
2001,Median household income ($),Leamington West,Leamington West,40700,nzd,NZD,
2006,Median household income ($),Leamington West,Leamington West,51600,nzd,NZD,
2013,Median household income ($),Leamington West,Leamington West,63600,nzd,NZD,
2001,Median household income ($),Leamington East,Leamington East,38800,nzd,NZD,
2006,Median household income ($),Leamington East,Leamington East,50400,nzd,NZD,
2013,Median household income ($),Leamington East,Leamington East,63300,nzd,NZD,
2001,Median household income ($),Ohaupo,Ohaupo,37500,nzd,NZD,
2006,Median household income ($),Ohaupo,Ohaupo,46300,nzd,NZD,
2013,Median household income ($),Ohaupo,Ohaupo,66700,nzd,NZD,
2001,Median household income ($),Kihikihi,Kihikihi,34400,nzd,NZD,
2006,Median household income ($),Kihikihi,Kihikihi,43400,nzd,NZD,
2013,Median household income ($),Kihikihi,Kihikihi,53800,nzd,NZD,
2001,Median household income ($),Peacocke,Peacocke,64300,nzd,NZD,
2006,Median household income ($),Peacocke,Peacocke,72500,nzd,NZD,
2013,Median household income ($),Peacocke,Peacocke,67500,nzd,NZD,
2001,Median household income ($),Temple View,Temple View,41900,nzd,NZD,
2006,Median household income ($),Temple View,Temple View,56300,nzd,NZD,
2013,Median household income ($),Temple View,Temple View,62000,nzd,NZD,
2001,Median household income ($),Te Kowhai,Te Kowhai,46000,nzd,NZD,
2006,Median household income ($),Te Kowhai,Te Kowhai,62400,nzd,NZD,
2013,Median household income ($),Te Kowhai,Te Kowhai,80400,nzd,NZD,
2001,Median household income ($),Whatawhata,Whatawhata,60000,nzd,NZD,
2006,Median household income ($),Whatawhata,Whatawhata,75000,nzd,NZD,
2013,Median household income ($),Whatawhata,Whatawhata,91500,nzd,NZD,
2001,Median household income ($),Ngahinapouri,Ngahinapouri,61900,nzd,NZD,
2006,Median household income ($),Ngahinapouri,Ngahinapouri,73800,nzd,NZD,
2013,Median household income ($),Ngahinapouri,Ngahinapouri,89500,nzd,NZD,
2001,Median household income ($),Lake Cameron,Lake Cameron,55800,nzd,NZD,
2006,Median household income ($),Lake Cameron,Lake Cameron,73900,nzd,NZD,
2013,Median household income ($),Lake Cameron,Lake Cameron,85600,nzd,NZD,
2001,Median household income ($),Horotiu,Horotiu,44400,nzd,NZD,
2006,Median household income ($),Horotiu,Horotiu,58600,nzd,NZD,
2013,Median household income ($),Horotiu,Horotiu,76000,nzd,NZD,
2001,Median household income ($),Te Rapa North,Te Rapa North,51100,nzd,NZD,
2006,Median household income ($),Te Rapa North,Te Rapa North,75000,nzd,NZD,
2013,Median household income ($),Te Rapa North,Te Rapa North,92500,nzd,NZD,
2001,Median household income ($),Te Rore,Te Rore,60000,nzd,NZD,
2006,Median household income ($),Te Rore,Te Rore,73000,nzd,NZD,
2013,Median household income ($),Te Rore,Te Rore,81300,nzd,NZD,
2001,Median household income ($),Pirongia,Pirongia,44100,nzd,NZD,
2006,Median household income ($),Pirongia,Pirongia,62100,nzd,NZD,
2013,Median household income ($),Pirongia,Pirongia,78600,nzd,NZD,
2001,Median household income ($),Pokuru,Pokuru,58900,nzd,NZD,
2006,Median household income ($),Pokuru,Pokuru,67000,nzd,NZD,
2013,Median household income ($),Pokuru,Pokuru,84000,nzd,NZD,
2001,Median household income ($),Lake Ngaroto,Lake Ngaroto,59100,nzd,NZD,
2006,Median household income ($),Lake Ngaroto,Lake Ngaroto,65000,nzd,NZD,
2013,Median household income ($),Lake Ngaroto,Lake Ngaroto,80400,nzd,NZD,
2001,Median household income ($),Tokanui,Tokanui,33800,nzd,NZD,
2006,Median household income ($),Tokanui,Tokanui,50400,nzd,NZD,
2013,Median household income ($),Tokanui,Tokanui,57500,nzd,NZD,
2001,Median household income ($),Pukerimu,Pukerimu,60000,nzd,NZD,
2006,Median household income ($),Pukerimu,Pukerimu,63000,nzd,NZD,
2013,Median household income ($),Pukerimu,Pukerimu,90600,nzd,NZD,
2001,Median household income ($),Kaipaki,Kaipaki,60000,nzd,NZD,
2006,Median household income ($),Kaipaki,Kaipaki,67500,nzd,NZD,
2013,Median household income ($),Kaipaki,Kaipaki,87500,nzd,NZD,
2001,Median household income ($),Rotoorangi,Rotoorangi,57500,nzd,NZD,
2006,Median household income ($),Rotoorangi,Rotoorangi,65900,nzd,NZD,
2013,Median household income ($),Rotoorangi,Rotoorangi,80100,nzd,NZD,
2001,Median household income ($),Te Rahu,Te Rahu,53800,nzd,NZD,
2006,Median household income ($),Te Rahu,Te Rahu,68100,nzd,NZD,
2013,Median household income ($),Te Rahu,Te Rahu,80200,nzd,NZD,
2001,Median household income ($),Kihikihi Flat,Kihikihi Flat,54200,nzd,NZD,
2006,Median household income ($),Kihikihi Flat,Kihikihi Flat,63800,nzd,NZD,
2013,Median household income ($),Kihikihi Flat,Kihikihi Flat,78300,nzd,NZD,
2001,Median household income ($),Allen Road,Allen Road,45000,nzd,NZD,
2006,Median household income ($),Allen Road,Allen Road,62500,nzd,NZD,
2013,Median household income ($),Allen Road,Allen Road,85000,nzd,NZD,
2001,Median household income ($),Rotongata,Rotongata,46900,nzd,NZD,
2006,Median household income ($),Rotongata,Rotongata,50700,nzd,NZD,
2013,Median household income ($),Rotongata,Rotongata,64400,nzd,NZD,
2001,Median household income ($),Ngaruawahia,Ngaruawahia,31300,nzd,NZD,
2006,Median household income ($),Ngaruawahia,Ngaruawahia,41500,nzd,NZD,
2013,Median household income ($),Ngaruawahia,Ngaruawahia,49600,nzd,NZD,
2001,Median household income ($),Bryant,Bryant,43300,nzd,NZD,
2006,Median household income ($),Bryant,Bryant,58300,nzd,NZD,
2013,Median household income ($),Bryant,Bryant,67300,nzd,NZD,
2001,Median household income ($),Pukete,Pukete,56000,nzd,NZD,
2006,Median household income ($),Pukete,Pukete,71500,nzd,NZD,
2013,Median household income ($),Pukete,Pukete,84000,nzd,NZD,
2001,Median household income ($),Pukete West,Pukete West,51800,nzd,NZD,
2006,Median household income ($),Pukete West,Pukete West,62000,nzd,NZD,
2013,Median household income ($),Pukete West,Pukete West,73300,nzd,NZD,
2001,Median household income ($),Te Rapa,Te Rapa,41700,nzd,NZD,
2006,Median household income ($),Te Rapa,Te Rapa,24400,nzd,NZD,
2013,Median household income ($),Te Rapa,Te Rapa,31100,nzd,NZD,
2001,Median household income ($),Burbush,Burbush,60000,nzd,NZD,
2006,Median household income ($),Burbush,Burbush,60000,nzd,NZD,
2013,Median household income ($),Burbush,Burbush,85000,nzd,NZD,
2001,Median household income ($),Rotokauri,Rotokauri,55000,nzd,NZD,
2006,Median household income ($),Rotokauri,Rotokauri,81300,nzd,NZD,
2013,Median household income ($),Rotokauri,Rotokauri,105000,nzd,NZD,
2001,Median household income ($),Nawton,Nawton,42900,nzd,NZD,
2006,Median household income ($),Nawton,Nawton,52700,nzd,NZD,
2013,Median household income ($),Nawton,Nawton,59100,nzd,NZD,
2001,Median household income ($),Crawshaw,Crawshaw,32300,nzd,NZD,
2006,Median household income ($),Crawshaw,Crawshaw,42200,nzd,NZD,
2013,Median household income ($),Crawshaw,Crawshaw,50400,nzd,NZD,
2001,Median household income ($),Grandview,Grandview,39500,nzd,NZD,
2006,Median household income ($),Grandview,Grandview,46600,nzd,NZD,
2013,Median household income ($),Grandview,Grandview,56900,nzd,NZD,
2001,Median household income ($),Brymer,Brymer,58300,nzd,NZD,
2006,Median household income ($),Brymer,Brymer,69700,nzd,NZD,
2013,Median household income ($),Brymer,Brymer,83900,nzd,NZD,
2001,Median household income ($),Dinsdale North,Dinsdale North,45700,nzd,NZD,
2006,Median household income ($),Dinsdale North,Dinsdale North,59400,nzd,NZD,
2013,Median household income ($),Dinsdale North,Dinsdale North,73400,nzd,NZD,
2001,Median household income ($),Dinsdale South,Dinsdale South,40500,nzd,NZD,
2006,Median household income ($),Dinsdale South,Dinsdale South,48900,nzd,NZD,
2013,Median household income ($),Dinsdale South,Dinsdale South,61300,nzd,NZD,
2001,Median household income ($),Beerescourt,Beerescourt,43200,nzd,NZD,
2006,Median household income ($),Beerescourt,Beerescourt,52300,nzd,NZD,
2013,Median household income ($),Beerescourt,Beerescourt,65400,nzd,NZD,
2001,Median household income ($),Maeroa,Maeroa,36200,nzd,NZD,
2006,Median household income ($),Maeroa,Maeroa,50100,nzd,NZD,
2013,Median household income ($),Maeroa,Maeroa,59200,nzd,NZD,
2001,Median household income ($),Frankton Junction,Frankton Junction,32900,nzd,NZD,
2006,Median household income ($),Frankton Junction,Frankton Junction,43200,nzd,NZD,
2013,Median household income ($),Frankton Junction,Frankton Junction,54700,nzd,NZD,
2001,Median household income ($),Swarbrick,Swarbrick,29100,nzd,NZD,
2006,Median household income ($),Swarbrick,Swarbrick,40900,nzd,NZD,
2013,Median household income ($),Swarbrick,Swarbrick,45700,nzd,NZD,
2001,Median household income ($),Hamilton Lake,Hamilton Lake,45400,nzd,NZD,
2006,Median household income ($),Hamilton Lake,Hamilton Lake,59100,nzd,NZD,
2013,Median household income ($),Hamilton Lake,Hamilton Lake,67200,nzd,NZD,
2001,Median household income ($),Melville,Melville,38500,nzd,NZD,
2006,Median household income ($),Melville,Melville,50300,nzd,NZD,
2013,Median household income ($),Melville,Melville,57400,nzd,NZD,
2001,Median household income ($),Glenview,Glenview,46500,nzd,NZD,
2006,Median household income ($),Glenview,Glenview,56500,nzd,NZD,
2013,Median household income ($),Glenview,Glenview,67200,nzd,NZD,
2001,Median household income ($),Queenwood,Queenwood,50700,nzd,NZD,
2006,Median household income ($),Queenwood,Queenwood,66400,nzd,NZD,
2013,Median household income ($),Queenwood,Queenwood,74300,nzd,NZD,
2001,Median household income ($),Chedworth,Chedworth,45000,nzd,NZD,
2006,Median household income ($),Chedworth,Chedworth,59800,nzd,NZD,
2013,Median household income ($),Chedworth,Chedworth,65000,nzd,NZD,
2001,Median household income ($),Porritt,Porritt,29200,nzd,NZD,
2006,Median household income ($),Porritt,Porritt,40400,nzd,NZD,
2013,Median household income ($),Porritt,Porritt,51700,nzd,NZD,
2001,Median household income ($),Insoll,Insoll,26700,nzd,NZD,
2006,Median household income ($),Insoll,Insoll,35100,nzd,NZD,
2013,Median household income ($),Insoll,Insoll,41700,nzd,NZD,
2001,Median household income ($),Fairview Downs,Fairview Downs,45300,nzd,NZD,
2006,Median household income ($),Fairview Downs,Fairview Downs,56200,nzd,NZD,
2013,Median household income ($),Fairview Downs,Fairview Downs,65600,nzd,NZD,
2001,Median household income ($),Chartwell,Chartwell,55800,nzd,NZD,
2006,Median household income ($),Chartwell,Chartwell,77700,nzd,NZD,
2013,Median household income ($),Chartwell,Chartwell,93300,nzd,NZD,
2001,Median household income ($),Hamilton Central,Hamilton Central,28500,nzd,NZD,
2006,Median household income ($),Hamilton Central,Hamilton Central,39900,nzd,NZD,
2013,Median household income ($),Hamilton Central,Hamilton Central,50700,nzd,NZD,
2001,Median household income ($),Clarkin,Clarkin,29100,nzd,NZD,
2006,Median household income ($),Clarkin,Clarkin,39600,nzd,NZD,
2013,Median household income ($),Clarkin,Clarkin,50400,nzd,NZD,
2001,Median household income ($),Claudelands,Claudelands,34000,nzd,NZD,
2006,Median household income ($),Claudelands,Claudelands,47500,nzd,NZD,
2013,Median household income ($),Claudelands,Claudelands,53500,nzd,NZD,
2001,Median household income ($),Enderley,Enderley,29600,nzd,NZD,
2006,Median household income ($),Enderley,Enderley,40100,nzd,NZD,
2013,Median household income ($),Enderley,Enderley,50300,nzd,NZD,
2001,Median household income ($),Peachgrove,Peachgrove,35200,nzd,NZD,
2006,Median household income ($),Peachgrove,Peachgrove,36400,nzd,NZD,
2013,Median household income ($),Peachgrove,Peachgrove,45200,nzd,NZD,
2001,Median household income ($),Hamilton East,Hamilton East,28600,nzd,NZD,
2006,Median household income ($),Hamilton East,Hamilton East,37500,nzd,NZD,
2013,Median household income ($),Hamilton East,Hamilton East,48000,nzd,NZD,
2001,Median household income ($),Naylor,Naylor,33600,nzd,NZD,
2006,Median household income ($),Naylor,Naylor,45600,nzd,NZD,
2013,Median household income ($),Naylor,Naylor,56600,nzd,NZD,
2001,Median household income ($),Bader,Bader,33000,nzd,NZD,
2006,Median household income ($),Bader,Bader,42500,nzd,NZD,
2013,Median household income ($),Bader,Bader,54200,nzd,NZD,
2001,Median household income ($),University,University,26000,nzd,NZD,
2006,Median household income ($),University,University,36300,nzd,NZD,
2013,Median household income ($),University,University,42400,nzd,NZD,
2001,Median household income ($),Silverdale,Silverdale,30700,nzd,NZD,
2006,Median household income ($),Silverdale,Silverdale,38900,nzd,NZD,
2013,Median household income ($),Silverdale,Silverdale,48800,nzd,NZD,
2001,Median household income ($),Hillcrest West,Hillcrest West,41000,nzd,NZD,
2006,Median household income ($),Hillcrest West,Hillcrest West,53100,nzd,NZD,
2013,Median household income ($),Hillcrest West,Hillcrest West,66100,nzd,NZD,
2001,Median household income ($),Riverlea,Riverlea,50100,nzd,NZD,
2006,Median household income ($),Riverlea,Riverlea,62100,nzd,NZD,
2013,Median household income ($),Riverlea,Riverlea,74400,nzd,NZD,
2001,Median household income ($),Te Awamutu West,Te Awamutu West,37500,nzd,NZD,
2006,Median household income ($),Te Awamutu West,Te Awamutu West,47900,nzd,NZD,
2013,Median household income ($),Te Awamutu West,Te Awamutu West,59200,nzd,NZD,
2001,Median household income ($),Te Awamutu Central,Te Awamutu Central,30300,nzd,NZD,
2006,Median household income ($),Te Awamutu Central,Te Awamutu Central,41400,nzd,NZD,
2013,Median household income ($),Te Awamutu Central,Te Awamutu Central,50000,nzd,NZD,
2001,Median household income ($),Te Awamutu East,Te Awamutu East,33700,nzd,NZD,
2006,Median household income ($),Te Awamutu East,Te Awamutu East,43500,nzd,NZD,
2013,Median household income ($),Te Awamutu East,Te Awamutu East,52300,nzd,NZD,
2001,Median household income ($),Te Awamutu South,Te Awamutu South,30600,nzd,NZD,
2006,Median household income ($),Te Awamutu South,Te Awamutu South,42900,nzd,NZD,
2013,Median household income ($),Te Awamutu South,Te Awamutu South,50700,nzd,NZD,
2001,Median household income ($),Kawhia Community,Kawhia Community,20400,nzd,NZD,
2006,Median household income ($),Kawhia Community,Kawhia Community,22500,nzd,NZD,
2013,Median household income ($),Kawhia Community,Kawhia Community,32500,nzd,NZD,
2001,Median household income ($),Otorohanga,Otorohanga,29900,nzd,NZD,
2006,Median household income ($),Otorohanga,Otorohanga,40000,nzd,NZD,
2013,Median household income ($),Otorohanga,Otorohanga,48000,nzd,NZD,
2001,Median household income ($),Otorohanga Rural West,Otorohanga Rural West,37900,nzd,NZD,
2006,Median household income ($),Otorohanga Rural West,Otorohanga Rural West,48400,nzd,NZD,
2013,Median household income ($),Otorohanga Rural West,Otorohanga Rural West,56400,nzd,NZD,
2001,Median household income ($),Te Kawa,Te Kawa,52900,nzd,NZD,
2006,Median household income ($),Te Kawa,Te Kawa,62200,nzd,NZD,
2013,Median household income ($),Te Kawa,Te Kawa,66300,nzd,NZD,
2001,Median household income ($),Otorohanga Rural East,Otorohanga Rural East,50200,nzd,NZD,
2006,Median household income ($),Otorohanga Rural East,Otorohanga Rural East,56500,nzd,NZD,
2013,Median household income ($),Otorohanga Rural East,Otorohanga Rural East,70600,nzd,NZD,
2001,Median household income ($),Piopio,Piopio,31400,nzd,NZD,
2006,Median household income ($),Piopio,Piopio,46700,nzd,NZD,
2013,Median household income ($),Piopio,Piopio,48800,nzd,NZD,
2001,Median household income ($),Taharoa,Taharoa,28800,nzd,NZD,
2006,Median household income ($),Taharoa,Taharoa,52500,nzd,NZD,
2013,Median household income ($),Taharoa,Taharoa,81300,nzd,NZD,
2001,Median household income ($),Mahoenui,Mahoenui,28600,nzd,NZD,
2006,Median household income ($),Mahoenui,Mahoenui,40200,nzd,NZD,
2013,Median household income ($),Mahoenui,Mahoenui,44400,nzd,NZD,
2001,Median household income ($),Marokopa,Marokopa,43100,nzd,NZD,
2006,Median household income ($),Marokopa,Marokopa,50300,nzd,NZD,
2013,Median household income ($),Marokopa,Marokopa,60700,nzd,NZD,
2001,Median household income ($),Waipa Valley,Waipa Valley,44000,nzd,NZD,
2006,Median household income ($),Waipa Valley,Waipa Valley,54000,nzd,NZD,
2013,Median household income ($),Waipa Valley,Waipa Valley,64600,nzd,NZD,
2001,Median household income ($),Tiroa,Tiroa,42500,nzd,NZD,
2006,Median household income ($),Tiroa,Tiroa,44200,nzd,NZD,
2013,Median household income ($),Tiroa,Tiroa,45000,nzd,NZD,
2001,Median household income ($),Mokauiti,Mokauiti,36200,nzd,NZD,
2006,Median household income ($),Mokauiti,Mokauiti,45000,nzd,NZD,
2013,Median household income ($),Mokauiti,Mokauiti,57100,nzd,NZD,
2001,Median household income ($),Te Kuiti,Te Kuiti,30900,nzd,NZD,
2006,Median household income ($),Te Kuiti,Te Kuiti,38200,nzd,NZD,
2013,Median household income ($),Te Kuiti,Te Kuiti,43500,nzd,NZD,
2001,Median household income ($),Omori,Omori,35000,nzd,NZD,
2006,Median household income ($),Omori,Omori,43800,nzd,NZD,
2013,Median household income ($),Omori,Omori,52500,nzd,NZD,
2001,Median household income ($),Owhango,Owhango,27500,nzd,NZD,
2006,Median household income ($),Owhango,Owhango,37500,nzd,NZD,
2013,Median household income ($),Owhango,Owhango,41300,nzd,NZD,
2001,Median household income ($),Ohura,Ohura,20800,nzd,NZD,
